node_id,x,y
545,0.03125,0
546,0,0.03125
547,0.96875,0
548,1,0.03125
549,1,0.96875
550,0.96875,1
551,0,0.96875
552,0.03125,1
553,0.5,0.46875
554,0.46875,0.5
555,0.53125,0.5
556,0.5,0.53125
557,0.46875,0
558,0.53125,0
559,0.5,0.03125
560,0,0.46875
561,0,0.53125
562,0.03125,0.5
563,1,0.46875
564,1,0.53125
565,0.96875,0.5
566,0.53125,1
567,0.46875,1
568,0.5,0.96875
569,0.25,0.21875
570,0.21875,0.25
571,0.28125,0.25
572,0.25,0.28125
573,0.75,0.21875
574,0.78125,0.25
575,0.71875,0.25
576,0.75,0.28125
577,0.78125,0.75
578,0.75,0.78125
579,0.75,0.71875
580,0.71875,0.75
581,0.21875,0.75
582,0.25,0.78125
583,0.25,0.71875
584,0.28125,0.75
585,0.21875,0
586,0.28125,0
587,0.25,0.03125
588,0,0.21875
589,0,0.28125
590,0.03125,0.25
591,0.78125,0
592,0.71875,0
593,0.75,0.03125
594,1,0.21875
595,1,0.28125
596,0.96875,0.25
597,1,0.78125
598,1,0.71875
599,0.96875,0.75
600,0.78125,1
601,0.71875,1
602,0.75,0.96875
603,0,0.78125
604,0,0.71875
605,0.03125,0.75
606,0.21875,1
607,0.28125,1
608,0.25,0.96875
609,0.5,0.28125
610,0.5,0.21875
611,0.46875,0.25
612,0.53125,0.25
613,0.28125,0.5
614,0.21875,0.5
615,0.25,0.46875
616,0.25,0.53125
617,0.71875,0.5
618,0.78125,0.5
619,0.75,0.46875
620,0.75,0.53125
621,0.5,0.71875
622,0.5,0.78125
623,0.53125,0.75
624,0.46875,0.75
625,0.125,0.09375
626,0.09375,0.125
627,0.15625,0.125
628,0.125,0.15625
629,0.875,0.09375
630,0.90625,0.125
631,0.84375,0.125
632,0.875,0.15625
633,0.90625,0.875
634,0.875,0.90625
635,0.875,0.84375
636,0.84375,0.875
637,0.09375,0.875
638,0.125,0.90625
639,0.125,0.84375
640,0.15625,0.875
641,0.40625,0.375
642,0.375,0.40625
643,0.375,0.34375
644,0.34375,0.375
645,0.59375,0.375
646,0.625,0.40625
647,0.625,0.34375
648,0.65625,0.375
649,0.625,0.59375
650,0.59375,0.625
651,0.65625,0.625
652,0.625,0.65625
653,0.375,0.59375
654,0.40625,0.625
655,0.34375,0.625
656,0.375,0.65625
657,0.375,0.09375
658,0.40625,0.125
659,0.34375,0.125
660,0.375,0.15625
661,0.625,0.09375
662,0.59375,0.125
663,0.65625,0.125
664,0.625,0.15625
665,0.09375,0.375
666,0.125,0.40625
667,0.125,0.34375
668,0.15625,0.375
669,0.09375,0.625
670,0.125,0.59375
671,0.125,0.65625
672,0.15625,0.625
673,0.90625,0.375
674,0.875,0.40625
675,0.875,0.34375
676,0.84375,0.375
677,0.90625,0.625
678,0.875,0.59375
679,0.875,0.65625
680,0.84375,0.625
681,0.625,0.90625
682,0.59375,0.875
683,0.65625,0.875
684,0.625,0.84375
685,0.375,0.90625
686,0.40625,0.875
687,0.34375,0.875
688,0.375,0.84375
689,0.09375,0
690,0.15625,0
691,0.125,0.03125
692,0,0.09375
693,0,0.15625
694,0.03125,0.125
695,0.90625,0
696,0.84375,0
697,0.875,0.03125
698,1,0.09375
699,1,0.15625
700,0.96875,0.125
701,1,0.90625
702,1,0.84375
703,0.96875,0.875
704,0.90625,1
705,0.84375,1
706,0.875,0.96875
707,0,0.90625
708,0,0.84375
709,0.03125,0.875
710,0.09375,1
711,0.15625,1
712,0.125,0.96875
713,0.5,0.40625
714,0.5,0.34375
715,0.46875,0.375
716,0.53125,0.375
717,0.40625,0.5
718,0.34375,0.5
719,0.375,0.46875
720,0.375,0.53125
721,0.59375,0.5
722,0.65625,0.5
723,0.625,0.46875
724,0.625,0.53125
725,0.5,0.59375
726,0.5,0.65625
727,0.53125,0.625
728,0.46875,0.625
729,0.40625,0
730,0.34375,0
731,0.375,0.03125
732,0.59375,0
733,0.65625,0
734,0.625,0.03125
735,0.5,0.09375
736,0.5,0.15625
737,0.46875,0.125
738,0.53125,0.125
739,0,0.40625
740,0,0.34375
741,0.03125,0.375
742,0,0.59375
743,0,0.65625
744,0.03125,0.625
745,0.09375,0.5
746,0.15625,0.5
747,0.125,0.46875
748,0.125,0.53125
749,1,0.40625
750,1,0.34375
751,0.96875,0.375
752,1,0.59375
753,1,0.65625
754,0.96875,0.625
755,0.90625,0.5
756,0.84375,0.5
757,0.875,0.46875
758,0.875,0.53125
759,0.59375,1
760,0.65625,1
761,0.625,0.96875
762,0.40625,1
763,0.34375,1
764,0.375,0.96875
765,0.5,0.90625
766,0.5,0.84375
767,0.53125,0.875
768,0.46875,0.875
769,0.25,0.15625
770,0.25,0.09375
771,0.21875,0.125
772,0.28125,0.125
773,0.15625,0.25
774,0.09375,0.25
775,0.125,0.21875
776,0.125,0.28125
777,0.34375,0.25
778,0.40625,0.25
779,0.375,0.28125
780,0.375,0.21875
781,0.25,0.34375
782,0.25,0.40625
783,0.28125,0.375
784,0.21875,0.375
785,0.75,0.15625
786,0.75,0.09375
787,0.78125,0.125
788,0.71875,0.125
789,0.84375,0.25
790,0.90625,0.25
791,0.875,0.21875
792,0.875,0.28125
793,0.65625,0.25
794,0.59375,0.25
795,0.625,0.28125
796,0.625,0.21875
797,0.75,0.34375
798,0.75,0.40625
799,0.71875,0.375
800,0.78125,0.375
801,0.84375,0.75
802,0.90625,0.75
803,0.875,0.78125
804,0.875,0.71875
805,0.75,0.84375
806,0.75,0.90625
807,0.78125,0.875
808,0.71875,0.875
809,0.75,0.65625
810,0.75,0.59375
811,0.71875,0.625
812,0.78125,0.625
813,0.65625,0.75
814,0.59375,0.75
815,0.625,0.71875
816,0.625,0.78125
817,0.15625,0.75
818,0.09375,0.75
819,0.125,0.78125
820,0.125,0.71875
821,0.25,0.84375
822,0.25,0.90625
823,0.21875,0.875
824,0.28125,0.875
825,0.25,0.65625
826,0.25,0.59375
827,0.28125,0.625
828,0.21875,0.625
829,0.34375,0.75
830,0.40625,0.75
831,0.375,0.71875
832,0.375,0.78125
833,0.0625,0.03125
834,0.03125,0.0625
835,0.09375,0.0625
836,0.0625,0.09375
837,0.9375,0.03125
838,0.96875,0.0625
839,0.90625,0.0625
840,0.9375,0.09375
841,0.96875,0.9375
842,0.9375,0.96875
843,0.9375,0.90625
844,0.90625,0.9375
845,0.03125,0.9375
846,0.0625,0.96875
847,0.0625,0.90625
848,0.09375,0.9375
849,0.46875,0.4375
850,0.4375,0.46875
851,0.4375,0.40625
852,0.40625,0.4375
853,0.53125,0.4375
854,0.5625,0.46875
855,0.5625,0.40625
856,0.59375,0.4375
857,0.5625,0.53125
858,0.53125,0.5625
859,0.59375,0.5625
860,0.5625,0.59375
861,0.4375,0.53125
862,0.46875,0.5625
863,0.40625,0.5625
864,0.4375,0.59375
865,0.4375,0.03125
866,0.46875,0.0625
867,0.40625,0.0625
868,0.4375,0.09375
869,0.5625,0.03125
870,0.53125,0.0625
871,0.59375,0.0625
872,0.5625,0.09375
873,0.03125,0.4375
874,0.0625,0.46875
875,0.0625,0.40625
876,0.09375,0.4375
877,0.03125,0.5625
878,0.0625,0.53125
879,0.0625,0.59375
880,0.09375,0.5625
881,0.96875,0.4375
882,0.9375,0.46875
883,0.9375,0.40625
884,0.90625,0.4375
885,0.96875,0.5625
886,0.9375,0.53125
887,0.9375,0.59375
888,0.90625,0.5625
889,0.5625,0.96875
890,0.53125,0.9375
891,0.59375,0.9375
892,0.5625,0.90625
893,0.4375,0.96875
