iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
5,64,124,38,5,49,18,7,0.875,0.625,0.75,0.5,1,0.5
5,65,125,44,6,55,24,19,0.375,0.75,0.375,0.625,0.5,0.75
5,66,126,46,6,53,23,18,0.75,0.625,0.625,0.625,0.75,0.5
5,67,127,48,6,48,23,19,0.5,0.625,0.625,0.625,0.5,0.75
5,68,128,53,6,52,27,19,0.5,0.875,0.375,0.875,0.5,0.75
5,69,129,56,6,51,27,8,0.375,1,0.375,0.875,0.5,1
5,70,130,60,6,48,24,4,0.5,0.625,0.375,0.625,0.5,0.5
5,71,131,64,6,54,23,11,0.625,0.75,0.625,0.625,0.75,0.75
5,72,132,69,6,55,27,12,0.375,0.75,0.375,0.875,0.25,0.75
5,73,133,8,4,46,2,11,1,0.75,1,1,0.75,0.75
5,74,134,44,6,55,12,24,0.375,0.75,0.25,0.75,0.375,0.625
5,75,135,46,6,53,11,23,0.75,0.625,0.75,0.75,0.625,0.625
5,76,136,48,6,48,4,23,0.5,0.625,0.5,0.5,0.625,0.625
5,77,137,53,6,52,8,27,0.5,0.875,0.5,1,0.375,0.875
5,78,138,56,6,51,15,27,0.375,1,0.25,1,0.375,0.875
5,79,139,60,6,48,19,24,0.5,0.625,0.5,0.75,0.375,0.625
5,80,140,64,6,54,19,23,0.625,0.75,0.5,0.75,0.625,0.625
5,81,141,69,6,55,19,27,0.375,0.75,0.5,0.75,0.375,0.875
5,82,142,8,5,49,46,11,0.875,0.625,1,0.75,0.75,0.75
5,83,143,18,6,54,50,19,0.625,0.75,0.625,0.875,0.5,0.75
5,84,144,10,5,50,47,8,0.625,0.875,0.75,1,0.5,1
5,85,145,18,6,52,50,8,0.5,0.875,0.625,0.875,0.5,1
5,86,146,38,6,53,49,11,0.75,0.625,0.875,0.625,0.75,0.75
5,87,147,8,5,49,7,46,0.875,0.625,1,0.5,1,0.75
5,88,148,18,6,54,11,50,0.625,0.75,0.75,0.75,0.625,0.875
5,89,149,10,5,50,11,47,0.625,0.875,0.75,0.75,0.75,1
5,90,150,18,6,52,19,50,0.5,0.875,0.5,0.75,0.625,0.875
5,91,151,38,6,53,18,49,0.75,0.625,0.75,0.5,0.875,0.625
6,0,39,19,5,26,17,12,0.125,0.625,0.25,0.5,0.25,0.75
6,1,40,21,5,27,15,12,0.375,0.875,0.25,1,0.25,0.75
6,2,42,23,5,20,14,12,0.125,0.875,0,0.75,0.25,0.75
6,3,49,30,5,24,17,4,0.375,0.625,0.25,0.5,0.5,0.5
6,4,50,31,5,22,18,4,0.625,0.375,0.75,0.5,0.5,0.5
6,5,51,32,5,20,15,3,0.125,0.875,0.25,1,0,1
6,6,52,34,5,26,14,6,0.125,0.625,0,0.75,0,0.5
6,7,54,37,5,25,17,6,0.125,0.375,0.25,0.5,0,0.5
6,8,55,19,5,26,6,17,0.125,0.625,0,0.5,0.25,0.5
6,9,57,22,5,25,6,13,0.125,0.375,0,0.5,0,0.25
6,10,58,23,5,20,3,14,0.125,0.875,0,1,0,0.75
6,11,61,26,5,21,4,17,0.375,0.375,0.5,0.5,0.25,0.5
6,12,62,27,5,23,4,18,0.625,0.625,0.5,0.5,0.75,0.5
6,13,65,30,5,24,12,17,0.375,0.625,0.25,0.75,0.25,0.5
6,14,67,32,5,20,12,15,0.125,0.875,0.25,0.75,0.25,1
6,15,68,34,5,26,12,14,0.125,0.625,0.25,0.75,0,0.75
6,16,71,33,5,29,13,0,0.125,0.125,0,0.25,0,0
6,17,72,35,5,33,16,5,0.625,0.125,0.5,0.25,0.5,0
6,18,73,41,6,34,25,13,0.125,0.25,0.125,0.375,0,0.25
6,19,74,43,6,37,22,16,0.625,0.25,0.625,0.375,0.5,0.25
6,20,75,45,6,36,21,17,0.25,0.375,0.375,0.375,0.25,0.5
6,21,76,47,6,31,21,16,0.5,0.375,0.375,0.375,0.5,0.25
6,22,77,59,6,31,22,4,0.5,0.375,0.625,0.375,0.5,0.5
6,23,78,63,6,35,21,9,0.375,0.25,0.375,0.375,0.25,0.25
6,24,79,70,6,36,25,9,0.25,0.375,0.125,0.375,0.25,0.25
6,25,81,17,5,32,5,16,0.375,0.125,0.5,0,0.5,0.25
6,26,82,41,6,34,9,25,0.125,0.25,0.25,0.25,0.125,0.375
6,27,84,45,6,36,9,21,0.25,0.375,0.25,0.25,0.375,0.375
6,28,85,47,6,31,4,21,0.5,0.375,0.5,0.5,0.375,0.375
6,29,86,59,6,31,16,22,0.5,0.375,0.5,0.25,0.625,0.375
6,30,87,63,6,35,16,21,0.375,0.25,0.5,0.25,0.375,0.375
6,31,88,70,6,36,17,25,0.25,0.375,0.25,0.5,0.125,0.375
6,32,90,9,5,29,28,9,0.125,0.125,0.25,0,0.25,0.25
6,33,91,17,6,35,32,16,0.375,0.25,0.375,0.125,0.5,0.25
6,34,92,9,5,32,28,5,0.375,0.125,0.25,0,0.5,0
6,35,93,33,6,34,29,9,0.125,0.25,0.125,0.125,0.25,0.25
6,36,96,9,5,29,0,28,0.125,0.125,0,0,0.25,0
6,37,97,17,6,35,9,32,0.375,0.25,0.25,0.25,0.375,0.125
6,38,98,9,5,32,9,28,0.375,0.125,0.25,0.25,0.25,0
6,39,99,33,6,34,13,29,0.125,0.25,0,0.25,0.125,0.125
6,40,100,35,6,37,16,33,0.625,0.25,0.5,0.25,0.625,0.125
6,41,101,80,5,39,30,1,0.875,0.125,0.75,0,1,0
6,42,102,83,7,43,37,10,0.6875,0.3125,0.625,0.25,0.75,0.25
6,43,103,89,6,44,33,30,0.75,0.125,0.625,0.125,0.75,0
6,44,104,94,7,45,37,33,0.6875,0.1875,0.625,0.25,0.625,0.125
6,45,105,95,6,40,33,5,0.625,0,0.625,0.125,0.5,0
