schema_version,case,method,kappa,run_id,reference_epoch,H_step,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,22,45,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.4640831501074739e-14,35391,35294,0,,,4,,,0.60471400595528479,,,,,0.10814626033810999,0.00050596347285783915,0.025429935669278998,0.0031866870763217151,,,,23118,0,0,0,0,0,1.556194101,1.1545245989999999,10.268066143,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,23,46,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,48132,48022,0,,,4,,,0,,,,,,,,,,,,23118,0,0,0.28930846399999999,0,0,0,0,10.558277625000002,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,23,47,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.8336654717855556e-14,48132,48022,0,,,4,,,0.51709338765329094,,,,,0.091673307767269868,0.00034637264939070393,0.021556421031599635,0.0021815433417953774,,,,32525,0,0,0,0,0,2.1625054389999998,1.5729169839999999,14.294560936,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,24,48,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,65663,65534,0,,,4,,,0,,,,,,,,,,,,32525,0,0,0.395152318,0,0,0,0,14.690947651999998,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,24,49,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.3993632418416278e-14,65663,65534,0,,,4,,,0.44439886565876568,,,,,0.07940394720089243,0.00024542539879012588,0.018671355484712441,0.0015457517952987511,,,,42955,0,0,0,0,0,3.145409796,2.1712051620000001,20.015035615999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,25,50,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,88496,88352,0,,,4,,,0,,,,,,,,,,,,42955,0,0,0.56369370100000005,0,0,0,0,20.580413614000001,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,25,51,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.9355941210059031e-14,88496,88352,0,,,4,,,0.38105058966847039,,,,,0.067696902939509071,0.00019694654824330745,0.015918515198896036,0.0012404196225238341,,,,59933,0,0,0,0,0,4.4397709809999997,2.9282537890000002,27.957563065999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,26,52,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,120084,119908,0,,,4,,,0,,,,,,,,,,,,59933,0,0,0.81997093700000001,0,0,0,0,28.779944348000001,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,26,53,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=4.5767365950126602e-14,120084,119908,0,,,4,,,0.32732283959104924,,,,,0.058361117232907857,0.00015051002213077754,0.013723261943045125,0.0009479505302465573,,,,79063,0,0,0,0,0,6.7608549919999996,4.0236928450000002,39.572000881000008,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,27,54,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,161668,161473,0,,,4,,,0,,,,,,,,,,,,79063,0,0,1.2507826609999999,0,0,0,0,40.825884316,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,27,55,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=5.3686903467697927e-14,161668,161473,0,,,4,,,0.28071241958196408,,,,,0.049707312871846147,0.00010485570976374493,0.011688372454945566,0.00066040801976328923,,,,110651,0,0,0,0,0,9.2787463670000001,5.3996483560000001,55.509978118000006,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,28,56,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,219475,219244,0,,,4,,,0,,,,,,,,,,,,110651,0,0,1.935464646,0,0,0,0,57.449678685999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,28,57,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=6.1934561154668499e-14,219475,219244,0,,,4,,,0.24173902198738687,,,,,0.042798008019189634,7.1511092230779844e-05,0.010063691420292105,0.00045039510883731544,,,,146150,0,0,0,0,0,13.905811431,7.4278149710000001,78.797027992000011,1055.18359375
